sic,sic_desc,license_code,license_class,tax_type,naics_code,naics_desc
5041,"SPORTING GOODS, WS (NO PERMIT)",LGB,2,,423910,SPORTING & RECREATIONAL GOODS & SUPPLIES MERC WHLS
5042,"TOYS & HOBBY GOODS, WHOLESALE",LGB,2,,423920,TOY & HOBBY GOODS & SUPPLIES MERCH WHOLESALERS
5043,"PHOTO SUPPLY STORES, WHOLESALE",LGB,2,,423410,PHOTOGRAPHIC EQUIP & SUPPLIES MERCHANT WHOLESALERS
5047,MEDICAL/HOSP EQUIP-WHOLESALE,LGB,2,,423450,"MEDICAL,DNTL & HOSPITAL EQUIP & SUPPLIES MERCH WHL"
5051,"METAL JOBBERS, WHOLESALE",LGB,2,,423510,METAL SERVICE CNTRS & OTHR METAL MERCH WHOLESALERS
5052,"COAL, WHOLESALE",LGB,2,,423520,COAL & OTHER MINERAL & ORE MERCH WHOLESALERS
5063,"ELECTRIC LIGHT BULBS,WHOLESALE",LGB,2,,423610,"ELECTRCL  APPARA & EQUIP,WIRI SUPPL & REL EQUIP WH"
5064,ELECTRICAL APPLIANCES/SUPPLIES,LGB,2,,423620,"ELECTRCL & ELECTRNIC APPLS,TV & RADIO SET MERC WHL"
5072,"LAWNMOWER, WHOLESALE",LGB,2,,423710,HARDWARE MERCHANT WHOLESALERS
5074,"PLUMB/HEAT SUPPLIES, WHOLSALE",LGB,2,,423720,PLUMBING & HEATING EQUIP & SUPPLIES(HYDRONICS) MER
5078,"BEVERAGE COOLERS, WHOLSALE",LGB,2,,423740,REFRIGERATION EQUIP & SUPPLIES MERCH WHOLESALERS
5081,"COMMERCIAL MACHINE/EQUIP,WHOLE",LGB,2,,423440,OTHER COMMERICAL EQUIPMENT MERCHANT WHLSLERS
5083,"DAIRY SUPPLIES, WHOLESALE",LGB,2,,423820,FARM & GARDEN MACHINERY & EQUIP MERCH WHLSLRS
5084,INDUSTRIAL MACHINE/EQUIPMENT,LGB,2,,423830,INDUSTRIAL MACHINERY & EQUIPMENT MERCH WHOLESALERS
5085,"INDUSTRIAL SUPPLIES,WHOLESALE",LGB,2,,423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS
5086,"PROFESSIONAL EQUIP/SUPPLY,WHOL",LGB,2,,423490,OTHER PROFESSIONAL EQUIPMENT & SUPPL MERCH WHLESLR
5087,"SERVICE EQUIP/SUPPLY,WHOLESALE",LGB,2,,423850,SERVICE ESTABLISHMENT EQUIP & SUPPLIES MERCH WHLSL
5090,"JEWELRY, WHOLESALE",LGB,2,,423940,"JEWELRY,WATCH,PRECIOUS STNE & PREC METAL MERCH WHL"
5091,"SPORTING GOODS, WS (GUN SALES)",LGB,2,,423910,SPORTING & RECREATIONAL GOODS & SUPPLIES MERC WHLS
5092,TOYS AND HOBBY GOODS WHOLESALE,LGB,2,,423920,TOY & HOBBY GOODS & SUPPLIES MERCH WHOLESALERS
5093,RECYCLING-METAL(WASTE & SCRAP),LGB,2,,423930,RECYCLABLE MATERIAL MERCHANT WHOLESALERS
5094,PRECIOUS METALS,LGB,2,,423940,"JEWELRY,WATCH,PRECIOUS STNE & PREC METAL MERCH WHL"
5095,"WASTE MATERIALS, WHOLESALE",LGB,2,,423930,RECYCLABLE MATERIAL MERCHANT WHOLESALERS
5099,WHOLESALE NOT CLASSIFIED,LGB,2,,423990,OTHER MISC DURABLE GOODS MERCHANT WHOLESALERS
5111,"PAPER JOBBERS,DEALERS,AGENTS",LGB,2,,424110,PRINTING & WRITING PAPER MERCHANT WHOLESALERS
5113,"BAGS, BAGGING & TIES, DEALERS",LGB,2,,424130,INDUSTRIAL & PERSONAL SERVICE PAPER MERCH WHLSLRS
5122,"PRESCRIPTION/TOILETRIES,WHOLE",LGB,2,,424210,DRUGS & DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS
5133,"DRY GOODS,WHOLESALE",LGB,2,,424310,"PIECE GOODS, NOTIONS & OTHR DRY GOODS MERCH WHLSLR"
5136,"CLOTHING(MEN/BOYS), WHOLESALE",LGB,2,,424320,MEN'S & BOYS' CLOTHING & FURNISHINGS MERC WHLSLRS
5137,CLOTHING(WOMEN/CHILD)WHOLESALE,LGB,2,,424330,"WOMEN'S,CHILDRN'S & INFNTS' CLOTHING & ACCS WHLSR"
5139,"SHOES,WHOLESALE",LGB,2,,424340,FOOTWEAR MERCHANT WHOLESALERS
5141,"GROCERIES,WHOLESALE",LGB,2,,424410,GENERAL LINE GROCERY MERCHANT WHOLESALERS
5143,"DAIRY PRODUCTS,WHOLESALE",LGB,2,,424430,DIARY PRODUCTS (EXCPT DRIED OR CANNED) MERCH WHLSL
1531,OPERATIVE BUILDERS ON OWN ACCT,LGB,3,,236117,NEW HOUSING OPERATIVE BUILDERS
5145,"CANDY,WHOLESALE",LGB,2,,424450,CONFECTIONERY MERCHANT WHOLESALERS
5146,"FISH/SEAFOOD, WHOLESALE",LGB,2,,424460,FISH & SEAFOOD MERCHANT  WHOLESALERS
5147,MEAT/SEAFOOD FROM VEHICLES,LGB,2,,424470,MEAT & MEAT PRODUCT MERCHANT WHOLESALERS
5148,"FRUIT & PRODUCE, WHOLESALE",LGB,2,,424480,FRESH FRUIT & VEGETABLE MERCHANT WHOLESALERS
5149,GROCERIES & RELATED PRODUCTS,LGB,2,,424490,OTHER GROCERY & RELATED PRODUCTS MERCH WHOLESALERS
5152,"COTTON BROKERS, AGENTS",LGB,2,,424590,OTHER FARM PRODUCT RAW MATERIAL MERCH WHLSLRS
5153,"GRAIN, DEALERS, WHOLESALE",LGB,2,,424510,GRAIN & FIELD BEAN MERCHANT WHOLESALERS
5161,"INDUSTRIAL CHEMICALS,WHOLESALE",LGB,2,,424690,OTHER CHEMICAL & ALLIED PRODUCTS MERCH WHOLESALERS
5172,"GASOLINE, WHOLESALE",LGB,2,,424720,PETRO & PETRO PRODCTS M/WHLS(EXCPT BULK STAT & TE)
5191,"FERTILIZER, WHOLESALE",LGB,2,,424910,FARM SUPPLIES MERCHANT WHOLESALERS
5194,"CIGARETTES/TOBACCO, WHOLESALE",LGB,2,,424940,TOBACCO & TOBACCO PRODUCT MERCHANT WHOLESALERS
5198,"PAINT/WALL PAPER, WHOLESALE",LGB,2,,424950,"PAINT, VARNISH & SUPPLIES MERCHANT WHOLESALERS"
5199,"MISCELLANEOUS,NON-DURABLE GOOD",LGB,2,,424990,OTHER MISC NONDURABLE GOODS MERCHANT WHOLESALERS
5211,BUILDING MATERIALS-SUPPLIES,LGB,3,,441900,THER BUILDING MATERIAL DEALERS
5231,"GLASS/PAINT/WALL PAPER, RETAIL",LGB,3,,444120,PAINT & WALLPAPER STORES
5251,"HARDWARE, RETAIL",LGB,3,,444130,HARDWARE STORES
5261,"GARDEN SUPPLIES & TOOLS,RETAIL",LGB,3,,444220,"NURSERY,GARDEN CENTER & FARM SUPPLY STORES"
5271,"MOBILE HOMES, RETAIL",LGB,3,,453930,MANUFACTURED (MOBILE) HOME DEALERS
5311,DEPARTMENT STORES,LGB,4,,452111,DEPARTMENT STORES (EXCPT DISCOUNT DEPRTMNT STORES)
5331,VARIETY STORES,LGB,4,,452990,ALL OTHER GENERAL MERCHANDISE STORES
5399,"GENERAL MERCHANDISE, RETAIL",LGB,4,,452990,ALL OTHER GENERAL MERCHANDISE STORES
5411,"GROCERS, RETAIL",LGB,2,,445110,SUPERMARKETS & OTHR GROCERY (EXCEPT CONVEN) STORES
5412,SNACK SHOPS,LGB,2,,722213,SNACK & NONALCOHOLIC BEVERAGE BARS
5423,"MEAT/SEAFOOD MARKETS,RETAIL",LGB,2,,445220,FISH & SEAFOOD MARKETS
5431,"FRUIT & PRODUCE,RETAIL",LGB,2,,445230,FRUIT & VEGETABLE MARKETS
5441,"CANDY & NUT, RETAIL",LGB,2,,445292,CONFECTIONERY & NUT STORES
5451,"MILK, RETAIL",LGB,2,,445299,ALL OTHER SPECIALTY  FOOD STORES
5461,"BAKERY STORES, W/R SALES ONLY",LGB,2,,311811,RETAIL BAKERIES
5499,"COFFEE OR TEA STORES, RETAIL",LGB,2,,445299,ALL OTHER SPECIALTY FOOD STORES
5511,"AUTOMOBILE DEALERS, NEW RETAIL",LGB,1,,441110,NEW CAR DEALERS
5531,AUTO/HOME SUPPLY STORE-RETAIL,LGB,1,,441310,AUTOMOTIVE PARTS & ACCESSORIES STORES
5541,GASOLINE SERVICE STATION,LGB,1,,447190,OTHER GASOLINE STATIONS
5551,"BOAT SUPPLY/ACCESSORY,RETAIL",LGB,1,,441222,BOAT DEALERS
5571,"MOTORCYCLES,DEALERS/AGENTS",LGB,1,,441221,MOTORCYCLE DEALERS
5599,VEHICLE DEALERS (EXCEPT AUTO),LGB,1,,441229,ALL OTHER MOTOR VEHICLE DEALERS
5611,"HATS, RETAIL",LGB,4,,448110,MEN'S CLOTHING STORES
5621,BRIDAL SHOPS,LGB,4,,448120,WOMEN'S CLOTHING STORES
5631,RETAIL TRADE-APPAREL/ACCESSORY,LGB,4,,448150,CLOTHING ACCESSORIES STORES
5651,"DRY GOODS, RETAIL",LGB,4,,448140,FAMILY CLOTHING STORES
5652,"WOODENWARE, DEALERS/RETAIL",LGB,4,,448150,CLOTHING ACCESSORIES STORES
5661,"SHOE, DEALERS/RETAIL",LGB,4,,448210,SHOE STORES
5681,"FUR, CLOTHING RETAIL",LGB,4,,448190,OTHER CLOTHING STORES
5699,SPECIALIZED APPAREL/ACCESSORY,LGB,4,,448190,OTHER CLOTHING STORES
5712,"HOME FURNISHING/EQUIP, RETAIL",LGB,3,,442110,FURNITURE STORES
5713,"FLOOR COVERING, RETAIL",LGB,3,,442210,FLOOR COVERING STORES
5719,"HOME FURNISHING STORES,RETAIL",LGB,3,,442299,ALL OTHER HOME FURNISHINGS STORES
5722,"APPLIANCES-HOUSEHOLD, RETAIL",LGB,3,,443111,HOUSEHOLD APPLICANCE STORES
5732,"TAPE RECORDERS, RETAIL",LGB,3,,443112,"RADIO, TELEVISION & OTHER ELECTRONICS STORES"
5733,"MUSIC/INSTRUMENTS, RETAIL",LGB,3,,451140,MUSICAL INSTRUMENT AND SUPPLIES STORES
5812,RESTAURANTS,LGB,4,,722110,FULL-SERVICE RESTAURANTS
5813,NIGHT CLUB,LGB,4,,722410,DRINKING PLACES (ALCOHOLIC BEVERAGES)
5814,CATERERS,LGB,4,,722320,CATERERS
5815,"SANDWICHES(PREPACKAGED),RETAIL",LGB,4,,722213,SNACK & NONALCOHOLIC BEVERAGE BARS
5816,FAST FOOD RESTAURANT,LGB,4,,722211,LIMITED-SERVICE RESTAURANTS
5912,"DRUG STORE, RETAIL",LGB,3,,446110,PHARMACIES &  DRUG STORES
5930,"PAWN BROKERS, ALL TYPES/CLASS",LGB,3,,522298,ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION
5931,SECOND-HAND GOODS OF ANY DESC,LGB,3,,453310,USED MERCHANDISE STORES
5940,FIREARM SALES,LGB,3,,451110,SPORTING GOODS STORES
5941,"SPORTING GOODS, RETL NO PERMIT",LGB,3,,451110,SPORTING GOODS STORES
5942,"BOOK STORE, RETAIL",LGB,3,,451211,BOOK STORES
5943,"STATIONERY, INCLUDING BOOKS",LGB,3,,453210,OFFICE SUPPLIES & STATIONERY STORES
5944,"JEWELRY, RETAIL",LGB,3,,448310,JEWELRY STORES
5945,"TOYS, RETAIL",LGB,3,,451120,"HOBBY, TOY & GAME STORES"
5946,"CAMERA & PHOTO SUPPLIES,RETAIL",LGB,3,,443130,CAMERA & PHOTOGRAPHIC  SUPPPLIES STORES
5947,GIFT SHOP,LGB,3,,453220,"GIFT, NOVELTY & SOUVENIR STORES"
5948,"LUGGAGE & LEATHER GOODS,RETAIL",LGB,3,,448320,LUGGAGE & LEATHER GOODS STORES
5949,"SEWING SUPPLIES,RETAIL",LGB,3,,451130,"SEWING, NEEDLEWORK & PIECE  GOOD STORES"
5950,SPORTING GOODS RETL GUN SALES,LGB,3,,451110,SPORTING GOODS STORES
5961,MAIL ORDER BUSINESS,LGB,3,,454113,MAIL-ORDER HOUSES
5962,"VENDING MACHINES, SALE OF PROD",LGB,3,,454210,VENDING MACHINE OPERATORS
5963,CANVASSERS,LGB,3,,722330,MOBILE FOOD SERVICES
5982,"FUEL & ICE DEALERS, RETAIL",LGB,3,,454319,OTHER FUEL DEALERS
5984,"GAS,LIQUID PETROLEUM/SUPPLY",LGB,3,,454312,LIQUEFIED PETROLEUM GAS(BOTTLED GAS) DEALERS
5992,"FLORIST, RETAIL",LGB,3,,453110,FLORISTS
